name,ein,street,city,state,zip
CAPE ANN ANIMAL AID ASSOCIATION INC,042374914,4 PAWS LN,GLOUCESTER,MA,01930-2408
BUDDY DOG HUMANE SOCIETY INC,042386196,151 BOSTON POST RD,SUDBURY,MA,01776-3173
NEW ENGLAND VETERINARY MEDICAL ASSOCIATION,042445020,PO BOX 15304,PORTLAND,ME,04112-5304
HOCKAMOCK KENNEL CLUB INC,042498322,24 FOREST LN,SCITUATE,MA,02066-1834
METRO WEST HUMANE SOCIETY INC,042600449,PO BOX 1068,FRAMINGHAM,MA,01701-1068
NEW ENGLAND REGIONAL FISHERY MANAGEMENT COUNCIL,042607425,TANNERY MILL 2 / 50 WATER ST,NEWBURYPORT,MA,01950-0000
MARTHAS VINEYARD SHELLFISH GROUP INC,042612898,PO BOX 1552,OAK BLUFFS,MA,02557-1552
CONCERNED CITIZENS FOR ANIMALS INC,042615324,167 WHEEL MEADOW DR,LONGMEADOW,MA,01106-1827
BAYPATH HUMANE SOCIETY OF HOPKINTON INC,042625753,500 LEGACY FARMS N,HOPKINTON,MA,01748-2921
NORTHHAMPTON SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS I,042632522,11 VALLEY VIEW RD,WILLIAMSBURG,MA,01096-9734
BUTTONWOOD PARK ZOOLOGICAL SOCIETY INC,042661467,425 HAWTHORN ST,NEW BEDFORD,MA,02740-1418
BOSLER HUMANE SOCIETY INC,042664759,PO BOX 12,BALDWINVILLE,MA,01436-0012
WORLD ANIMAL PROTECTION,042718182,535 EIGHTH AVENUE 3RD FLOOR,NEW YORK,NY,10018-2552
MILTON ANIMAL LEAGUE INC,042724834,181 GOVERNOR STOUGHTON LN,MILTON,MA,02186-3712
AHIMSA FOUNDATION,042749858,60 STATE ST STE 700,BOSTON,MA,02109-1894
WORCESTER COUNTY KENNEL CLUB INC,042812973,9 STEPHANIE ANNE LN,STERLING,MA,01564-2839
YANKEE GOLDEN RETRIEVER RESCUE INC,042857191,110 CHAPIN RD,HUDSON,MA,01749-2607
ANIMAL CONTROL OFFICERS ASSOCIATION OF MASSACHUSETTS INC,042881827,890 BROCK AVE,NEW BEDFORD,MA,02744-1626
NEW ENGLAND WILDLIFE CENTER,042907561,500 COLUMBIAN ST,S WEYMOUTH,MA,02190-1130
IPSWICH HUMANE GROUP INC,042947396,PO BOX 873,IPSWICH,MA,01938-0873
CAPEN HILL NATURE ASSOCIATION INC,042952657,PO BOX 218,CHARLTON CITY,MA,01508-0218
GREYHOUND PETS OF AMERICA,042969202,PO BOX 1495,MIDDLEBORO,MA,02346-4495
SAVE A PET SOCIETY INC,043055906,PO BOX 474,SEEKONK,MA,02771-0474
FRIENDS OF THE PLYMOUTH POUND INC,043060594,PO BOX 578,MANOMET,MA,02345-0578
MELROSE HUMANE SOCIETY,043100198,PO BOX 760668,MELROSE,MA,02176-0004
MILFORD HUMANE SOCIETY INC,043101680,289 WEST ST,MILFORD,MA,01757-1245
BIG POND ASSOCIATION INC,043106683,58 DEER PATH LN,WESTFIELD,MA,01085-1189
COMMONWEALTH ZOOLOGICAL CORPORATION,043129124,1 FRANKLIN PARK RD,BOSTON,MA,02121-3252
BERKSHIRE HUMANE SOCIETY INC,043148018,214 BARKER RD,PITTSFIELD,MA,01201-8036
MERRIMACK RIVER FELINE RESCUE SOCIETY INC,043172322,63 ELM ST,SALISBURY,MA,01952-1936
NORTHEAST HAWKWATCH INC,043179009,254 ARLINGTON ST,MEDFORD,MA,02155-3548
